feature,relay_or_group,source_category,placement_unit,edge_visible_proposed
R1-PA1:VH,R1,PMU/relay,R1,True
R1-PM1:V,R1,PMU/relay,R1,True
R1-PA2:VH,R1,PMU/relay,R1,True
R1-PM2:V,R1,PMU/relay,R1,True
R1-PA3:VH,R1,PMU/relay,R1,True
R1-PM3:V,R1,PMU/relay,R1,True
R1-PA4:IH,R1,PMU/relay,R1,True
R1-PM4:I,R1,PMU/relay,R1,True
R1-PA5:IH,R1,PMU/relay,R1,True
R1-PM5:I,R1,PMU/relay,R1,True
R1-PA6:IH,R1,PMU/relay,R1,True
R1-PM6:I,R1,PMU/relay,R1,True
R1-PA7:VH,R1,PMU/relay,R1,True
R1-PM7:V,R1,PMU/relay,R1,True
R1-PA8:VH,R1,PMU/relay,R1,True
R1-PM8:V,R1,PMU/relay,R1,True
R1-PA9:VH,R1,PMU/relay,R1,True
R1-PM9:V,R1,PMU/relay,R1,True
R1-PA10:IH,R1,PMU/relay,R1,True
R1-PM10:I,R1,PMU/relay,R1,True
R1-PA11:IH,R1,PMU/relay,R1,True
R1-PM11:I,R1,PMU/relay,R1,True
R1-PA12:IH,R1,PMU/relay,R1,True
R1-PM12:I,R1,PMU/relay,R1,True
R1:F,R1,PMU/relay,R1,True
R1:DF,R1,PMU/relay,R1,True
R1-PA:Z,R1,PMU/relay,R1,True
R1-PA:ZH,R1,PMU/relay,R1,True
R1:S,R1,PMU/relay,R1,True
R2-PA1:VH,R2,PMU/relay,R2,True
R2-PM1:V,R2,PMU/relay,R2,True
R2-PA2:VH,R2,PMU/relay,R2,True
R2-PM2:V,R2,PMU/relay,R2,True
R2-PA3:VH,R2,PMU/relay,R2,True
R2-PM3:V,R2,PMU/relay,R2,True
R2-PA4:IH,R2,PMU/relay,R2,True
R2-PM4:I,R2,PMU/relay,R2,True
R2-PA5:IH,R2,PMU/relay,R2,True
R2-PM5:I,R2,PMU/relay,R2,True
R2-PA6:IH,R2,PMU/relay,R2,True
R2-PM6:I,R2,PMU/relay,R2,True
R2-PA7:VH,R2,PMU/relay,R2,True
R2-PM7:V,R2,PMU/relay,R2,True
R2-PA8:VH,R2,PMU/relay,R2,True
R2-PM8:V,R2,PMU/relay,R2,True
R2-PA9:VH,R2,PMU/relay,R2,True
R2-PM9:V,R2,PMU/relay,R2,True
R2-PA10:IH,R2,PMU/relay,R2,True
R2-PM10:I,R2,PMU/relay,R2,True
R2-PA11:IH,R2,PMU/relay,R2,True
R2-PM11:I,R2,PMU/relay,R2,True
R2-PA12:IH,R2,PMU/relay,R2,True
R2-PM12:I,R2,PMU/relay,R2,True
R2:F,R2,PMU/relay,R2,True
R2:DF,R2,PMU/relay,R2,True
R2-PA:Z,R2,PMU/relay,R2,True
R2-PA:ZH,R2,PMU/relay,R2,True
R2:S,R2,PMU/relay,R2,True
R3-PA1:VH,R3,PMU/relay,R3,True
R3-PM1:V,R3,PMU/relay,R3,True
R3-PA2:VH,R3,PMU/relay,R3,True
R3-PM2:V,R3,PMU/relay,R3,True
R3-PA3:VH,R3,PMU/relay,R3,True
R3-PM3:V,R3,PMU/relay,R3,True
R3-PA4:IH,R3,PMU/relay,R3,True
R3-PM4:I,R3,PMU/relay,R3,True
R3-PA5:IH,R3,PMU/relay,R3,True
R3-PM5:I,R3,PMU/relay,R3,True
R3-PA6:IH,R3,PMU/relay,R3,True
R3-PM6:I,R3,PMU/relay,R3,True
R3-PA7:VH,R3,PMU/relay,R3,True
R3-PM7:V,R3,PMU/relay,R3,True
R3-PA8:VH,R3,PMU/relay,R3,True
R3-PM8:V,R3,PMU/relay,R3,True
R3-PA9:VH,R3,PMU/relay,R3,True
R3-PM9:V,R3,PMU/relay,R3,True
R3-PA10:IH,R3,PMU/relay,R3,True
R3-PM10:I,R3,PMU/relay,R3,True
R3-PA11:IH,R3,PMU/relay,R3,True
R3-PM11:I,R3,PMU/relay,R3,True
R3-PA12:IH,R3,PMU/relay,R3,True
R3-PM12:I,R3,PMU/relay,R3,True
R3:F,R3,PMU/relay,R3,True
R3:DF,R3,PMU/relay,R3,True
R3-PA:Z,R3,PMU/relay,R3,True
R3-PA:ZH,R3,PMU/relay,R3,True
R3:S,R3,PMU/relay,R3,True
R4-PA1:VH,R4,PMU/relay,R4,True
R4-PM1:V,R4,PMU/relay,R4,True
R4-PA2:VH,R4,PMU/relay,R4,True
R4-PM2:V,R4,PMU/relay,R4,True
R4-PA3:VH,R4,PMU/relay,R4,True
R4-PM3:V,R4,PMU/relay,R4,True
R4-PA4:IH,R4,PMU/relay,R4,True
R4-PM4:I,R4,PMU/relay,R4,True
R4-PA5:IH,R4,PMU/relay,R4,True
R4-PM5:I,R4,PMU/relay,R4,True
R4-PA6:IH,R4,PMU/relay,R4,True
R4-PM6:I,R4,PMU/relay,R4,True
R4-PA7:VH,R4,PMU/relay,R4,True
R4-PM7:V,R4,PMU/relay,R4,True
R4-PA8:VH,R4,PMU/relay,R4,True
R4-PM8:V,R4,PMU/relay,R4,True
R4-PA9:VH,R4,PMU/relay,R4,True
R4-PM9:V,R4,PMU/relay,R4,True
R4-PA10:IH,R4,PMU/relay,R4,True
R4-PM10:I,R4,PMU/relay,R4,True
R4-PA11:IH,R4,PMU/relay,R4,True
R4-PM11:I,R4,PMU/relay,R4,True
R4-PA12:IH,R4,PMU/relay,R4,True
R4-PM12:I,R4,PMU/relay,R4,True
R4:F,R4,PMU/relay,R4,True
R4:DF,R4,PMU/relay,R4,True
R4-PA:Z,R4,PMU/relay,R4,True
R4-PA:ZH,R4,PMU/relay,R4,True
