model,feature_budget,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fpr_mean,fpr_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
Compact MLP,16,0.7490761620934884,0.035153119063033485,0.9326941214698354,0.019878259244827844,0.8303693804852514,0.023145783974293087,0.7676455458388429,0.03988168593534539,0.7064191601647883,0.02717066603509159,0.8635398096058686,0.027723810775404575
Compact MLP,32,0.7401300672001311,0.03890281150653258,0.9195188047815527,0.014040006009435519,0.8195004958954706,0.02302528672835754,0.7921108791839827,0.038724061438934906,0.6927975369221367,0.024241747206050254,0.8531635881023353,0.02794074111788636
Compact MLP,64,0.7390388393229783,0.03884443809067137,0.9191334182572134,0.01943922267245119,0.8185769008449256,0.022702714104957337,0.7963139137550075,0.03569752428425483,0.6831342638175729,0.022979521215610737,0.8492709584902607,0.028329769480443287
Logistic Regression,16,0.7112980750964563,0.04257844226160211,0.9945791737587518,0.00381590233576574,0.8287267010466047,0.028660701571901863,0.9906094891737929,0.007461853685052914,0.6293647800585219,0.03109549162440035,0.791117938868435,0.043201148229433925
Logistic Regression,32,0.7128148244084903,0.042900656381270524,0.99178472618278,0.003545167117825939,0.828789705744471,0.029047292476353036,0.9803790725022571,0.014646008450243131,0.6256328040947197,0.034117173895320096,0.789431299769791,0.04561119815875317
Logistic Regression,64,0.7130512213749137,0.042842241954105464,0.9900885740068557,0.004294748438530951,0.8283561836653681,0.02899792242494659,0.9776467267285668,0.016779829318833834,0.6828585806880585,0.03141513562678374,0.8501754192450317,0.030852850679275897
Random Forest,16,0.769723009910806,0.03392231469694032,0.8701015259153333,0.016134106259640905,0.8165308588097271,0.02277816884829933,0.6393249391714723,0.040766497980037335,0.7213509544170688,0.02899941572398945,0.865937607485095,0.028552314063568035
Random Forest,32,0.757130876911445,0.03631505659070212,0.84543355196177,0.012021070724064546,0.7983484525885793,0.01992161210584671,0.6652562681392514,0.030180433857805257,0.6724419528054052,0.029178426567914646,0.8280321409614365,0.03791165984857313
Random Forest,64,0.7583915317716063,0.03588072555715229,0.8505622084850907,0.014553250006369735,0.8013145995091298,0.01982463046302099,0.664818392004252,0.029931437147840117,0.6740594554891063,0.028098077022746054,0.8283534393636856,0.03744826840936276
XGBoost,16,0.7635765116009041,0.03513018891156608,0.8571004824422076,0.01931954219294434,0.8071006517621194,0.02031975363422495,0.6516655525758253,0.039313317190034044,0.7078250729148942,0.02821625190008626,0.865836435689593,0.02682864506698358
XGBoost,32,0.7581599353050773,0.036826397663620475,0.8398890112809478,0.009928107275021454,0.7963251146025645,0.017409305385673025,0.657400705634441,0.036426049464472476,0.6899208055197249,0.029836167921973657,0.856099171838813,0.029996146795819554
XGBoost,64,0.7595323426686104,0.03762203320988708,0.8438279709107221,0.011126817613533294,0.7989918472233951,0.0216313119893502,0.6547896119520694,0.029045581833977773,0.6930331669456219,0.024721435050642403,0.8586492861457561,0.029101949714813745
