model,placement_condition,precision,recall,f1,fpr,roc_auc,pr_auc,precision_std,recall_std,f1_std,fpr_std,roc_auc_std,pr_auc_std
Logistic Regression,Edge (edge-visible features),0.7099500063229065,0.9968988803602036,0.8286412661784218,0.9992967765805376,0.5305767961483044,0.7377865825729617,0.042937738749513066,0.006265385490504402,0.029746363199654884,0.0006874165383014043,0.045314761687756444,0.0456209212886199
Logistic Regression,"Central, clean aggregation",0.7193946070102704,0.9759983662953479,0.827641617963237,0.9335633491359003,0.6870339099809087,0.8540700960946878,0.04322545632006937,0.004825735591419468,0.029488530137512566,0.019895235945011625,0.030513565960545504,0.031845904745763674
Logistic Regression,"Central, 10% missing",0.7264332268080537,0.7954147554570634,0.7587695697250645,0.7339599279318236,0.5810201999097566,0.7639142833826754,0.04231182324101746,0.014255481614937242,0.02557673922659541,0.01766139725182847,0.0161792599849071,0.035126515477475875
Logistic Regression,"Central, logs unavailable",0.7127744442842944,0.9889359080313844,0.8277639520485038,0.9777015096308914,0.6723594674824159,0.8460385709307656,0.04331684948661572,0.005134158289171445,0.02956919420819693,0.01854031624137001,0.03220017085525591,0.03300225707416892
Logistic Regression,"Central, one relay lost (worst)",0.7090231793460773,0.7093755827139818,0.7088174460421811,0.7121630117642035,0.49925560001435526,0.7197302690132512,0.0498039075294963,0.03900153757656669,0.041358398442452045,0.035401181558630354,0.03721875768744903,0.04388051413371454
Random Forest,Edge (edge-visible features),0.7262375385284869,0.8367064342303218,0.776748901702577,0.7732940397207957,0.5636404108436633,0.7542700572906383,0.04184171657110617,0.024670910892147183,0.024801733412295357,0.028354793234472028,0.0323272844676196,0.04660095383651389
Random Forest,"Central, clean aggregation",0.7600724892071239,0.8607008510599632,0.8067379585730214,0.6667800555366923,0.6767534011217227,0.8256036830446121,0.034969083340881425,0.012305351214897425,0.018224557506290352,0.028295909206340786,0.02879183533908552,0.036721835807687654
Random Forest,"Central, 10% missing",0.7524033332065825,0.9010961582561602,0.8195457451422903,0.7276164842914042,0.680224290390333,0.830227538687306,0.03499529457997555,0.009557225318397948,0.01964258358669592,0.024816073376247114,0.025152668120969682,0.036435740473181655
Random Forest,"Central, logs unavailable",0.7585110838526472,0.8621190596370814,0.8064728447641865,0.6736701084022578,0.674265458134107,0.823489203338323,0.0351688222264413,0.012471630354760366,0.01844971007212658,0.0299425315643045,0.029354120722444598,0.037244550820350684
Random Forest,"Central, one relay lost (worst)",0.7281002166077637,0.9162675282560199,0.8108217728056298,0.8409514872209155,0.5803071118423284,0.7769634436314099,0.036783050990502456,0.01673578698664128,0.02252714937937422,0.03130299775208779,0.02917499173600351,0.03726016485467936
XGBoost,Edge (edge-visible features),0.7323583800383989,0.857599375699772,0.789356894691225,0.7690026257871868,0.5792527723963982,0.7693254255054007,0.03938670831066523,0.01449137834652895,0.021661187318506133,0.020669545577589533,0.03594687004400768,0.04541314377425273
XGBoost,"Central, clean aggregation",0.7621919731378574,0.8514507864987826,0.8038804522007847,0.6519714941084573,0.7015302393007636,0.863069737745705,0.036441671455075535,0.013323780349083658,0.021072243461137195,0.03889808872917535,0.031110024264343124,0.030614589613394357
XGBoost,"Central, 10% missing",0.7526623280259691,0.856620722523193,0.8008671783496388,0.6906558932580368,0.6719454584287364,0.8328579465002599,0.03605925247063007,0.01072309326975793,0.0220928412908285,0.029148062186792917,0.024474426667814374,0.03306504791303414
XGBoost,"Central, logs unavailable",0.759229500294849,0.855118034748369,0.8038475598757397,0.6656073162664767,0.6985247287110543,0.8618162197832844,0.03621595851405867,0.013697922731752016,0.020955932739170707,0.03733916327305789,0.030588808439016835,0.03047559669401014
XGBoost,"Central, one relay lost (worst)",0.7310145872657609,0.8538332573131291,0.7863419721116739,0.7709939779234369,0.611709034034891,0.80575749747117,0.04059128122798633,0.040246314793676116,0.023803497092035848,0.04509462940161382,0.028461977949198324,0.040397132619582575
Compact MLP,Edge (edge-visible features),0.7132104881133721,0.985899180377807,0.8269818230582741,0.9729517841862261,0.5502239357253533,0.7543830692392306,0.042277200078713786,0.00852689244811231,0.02835282854162307,0.01931338465396493,0.04447433873304567,0.03913918138169011
Compact MLP,"Central, clean aggregation",0.7430680209773236,0.9037440718738218,0.8151127369189569,0.7672677222462249,0.6827228129921425,0.8502873988594907,0.036755804353376414,0.016311106617684753,0.024189814719083838,0.034566400851064195,0.022332481920764986,0.025150187989505076
Compact MLP,"Central, 10% missing",0.7424152098179048,0.8149020593183455,0.776274900792458,0.693474010336799,0.6359663178240624,0.8128879965524346,0.037349567141344436,0.027270375803859773,0.023742691524245393,0.02987921704794008,0.019925967745151766,0.029929161746948436
Compact MLP,"Central, logs unavailable",0.7345306609823778,0.9102393651397965,0.8125007019621816,0.8082622751026152,0.6586384150483963,0.8295931958480623,0.03688780484255479,0.017727888843875123,0.024285263427983084,0.0372038310149862,0.024639950111811294,0.028535879291964203
Compact MLP,"Central, one relay lost (worst)",0.7259153055743645,0.7547973048584297,0.7382414110197969,0.6990845199217496,0.5643881051281364,0.76369920410726,0.0422228218894846,0.054588883064804104,0.029258508129836106,0.05771644570390482,0.026223189251648946,0.03376572117239406
