model,threshold_rule,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fpr_mean,fpr_std,alerts_per_1000_mean,alerts_per_1000_std,false_alarms_per_1000_mean,false_alarms_per_1000_std,misses_per_1000_attacks_mean,misses_per_1000_attacks_std
Compact MLP,constrained_fpr_10pct,0.8446510251834884,0.030857582109517542,0.43698288347490677,0.03551758197665349,0.574910085212147,0.03044319308280469,0.19796665969750146,0.03913274997716778,367.4807305350973,33.522160382760745,57.14135255257164,13.386890166052838,563.0171165250933,35.517581976653545
Compact MLP,fixed_0.5,0.7430680209773236,0.036755804353376414,0.9037440718738217,0.016311106617684812,0.8151127369189569,0.024189814719083835,0.7672677222462247,0.034566400851064175,863.723485343972,20.40095421334254,221.54106467679608,29.397281564069722,96.25592812617835,16.311106617684764
Compact MLP,max_f1,0.7363803597811777,0.03617021792632006,0.930499184518246,0.016366150593688716,0.8217083214579723,0.024890703529189883,0.8188909872959633,0.04319119381910365,897.431059382442,24.115160711017634,236.14771550517045,29.71806264838559,69.50081548175395,16.366150593688744
Compact MLP,max_youden_j,0.802411823574936,0.03506057146298979,0.5928419518273172,0.04398309667352621,0.6802036626801397,0.025149688976091406,0.35820484590960683,0.04840627140137308,524.4746010714576,38.60936650957177,104.14559947044154,23.392811579799716,407.1580481726827,43.98309667352614
Logistic Regression,constrained_fpr_10pct,0.889965533036899,0.0376507583373432,0.36479090891078536,0.03518832305039925,0.5167335109245818,0.03929473032405617,0.10721935071996341,0.02067631649150615,290.8971646039912,27.556120000155595,31.448852620587047,9.048766785929516,635.2090910892147,35.18832305039929
Logistic Regression,fixed_0.5,0.7193946070102705,0.043225456320069376,0.9759983662953479,0.004825735591419494,0.8276416179632368,0.029488530137512566,0.9335633491359003,0.0198952359450116,963.9178803605294,6.882768974899006,270.4151070122379,41.385389004755886,24.001633704652114,4.825735591419491
Logistic Regression,max_f1,0.7146203804802073,0.04315603552666358,0.9869821632079525,0.009488599006816598,0.828295659377263,0.029265282129891636,0.9670717441295497,0.024563528088918943,981.3243432953619,13.111484276249147,280.0876950980831,43.05435219122199,13.017836792047545,9.48859900681658
Logistic Regression,max_youden_j,0.8348138459542367,0.034876693300256514,0.49264196799981896,0.05166856741810112,0.6184254642852067,0.046797402877642176,0.2383317310403882,0.04203121871431747,419.5287732517888,49.69893393929967,68.53770830688066,13.26278593245665,507.3580320001811,51.66856741810113
Random Forest,constrained_fpr_10pct,0.7791678379525796,0.03578716290255939,0.755160401824958,0.02095164132509989,0.7665983909491533,0.022972690134337084,0.5248835331197219,0.03734881664240496,688.1885433430228,21.993753532586762,151.58528536642459,22.37409969556475,244.83959817504189,20.951641325099903
Random Forest,fixed_0.5,0.7600724892071239,0.034969083340881425,0.8607008510599632,0.012305351214897425,0.8067379585730214,0.018224557506290345,0.6667800555366922,0.02829590920634079,804.017026057413,14.22116323509113,192.71938106754976,26.869772422719624,139.29914894003682,12.305351214897437
Random Forest,max_f1,0.7791678379525796,0.03578716290255939,0.755160401824958,0.02095164132509989,0.7665983909491533,0.022972690134337084,0.5248835331197219,0.03734881664240496,688.1885433430228,21.993753532586762,151.58528536642459,22.37409969556475,244.83959817504189,20.951641325099903
Random Forest,max_youden_j,0.7791678379525796,0.03578716290255939,0.755160401824958,0.02095164132509989,0.7665983909491533,0.022972690134337084,0.5248835331197219,0.03734881664240496,688.1885433430228,21.993753532586762,151.58528536642459,22.37409969556475,244.83959817504189,20.951641325099903
XGBoost,constrained_fpr_10pct,0.7688862457469555,0.03755396582500831,0.8106683171320076,0.014105541645112367,0.7887789966627063,0.021747461737053133,0.5974904240707488,0.04153335230420333,748.7693478007604,18.55376239311343,172.8098295301458,26.993945922123768,189.33168286799236,14.105541645112378
XGBoost,fixed_0.5,0.7621919731378575,0.03644167145507553,0.8514507864987827,0.013323780349083651,0.8038804522007847,0.021072243461137202,0.6519714941084573,0.03889808872917535,793.2516207765893,15.995134799015057,188.4121733796231,27.59138450947491,148.54921350121722,13.323780349083664
XGBoost,max_f1,0.7705923125457965,0.037678878805079905,0.8006929715950069,0.014312099839601931,0.7848834066940567,0.02116916638060215,0.5842626659174203,0.039305940985283484,737.874405954433,16.483555724581137,169.06419830384277,26.78517174493497,199.30702840499313,14.312099839601908
XGBoost,max_youden_j,0.7798335891029403,0.038522796392822536,0.7470867847005833,0.011436470740435653,0.7627156728790322,0.021122229342414183,0.5170171413686506,0.04528087824202916,680.407399059519,17.028041986402336,149.6108124985689,25.58067534342921,252.91321529941666,11.436470740435643
