model,threshold_rule,mean,std,min,max
Compact MLP,constrained_fpr_10pct,0.7987865090109313,0.014393634055734567,0.7726399334290779,0.817797737933422
Compact MLP,fixed_0.5,0.5,0.0,0.5,0.5
Compact MLP,max_f1,0.4576882518967342,0.018638587548901995,0.43105499828408955,0.49617344174658756
Compact MLP,max_youden_j,0.7202498931457637,0.015173729975599402,0.6837727722523228,0.7518262946342061
Logistic Regression,constrained_fpr_10pct,0.7460734944972132,0.003912838889754724,0.7394025369170004,0.7513560133538983
Logistic Regression,fixed_0.5,0.5,0.0,0.5,0.5
Logistic Regression,max_f1,0.34157000864535075,0.21285143659569522,0.0006536903354656286,0.4923574339481543
Logistic Regression,max_youden_j,0.7142194815193948,0.009720076585199544,0.6996464544658767,0.7327348104057153
Random Forest,constrained_fpr_10pct,0.6166666666666667,0.010465362369445664,0.6,0.63
Random Forest,fixed_0.5,0.5,0.0,0.5,0.5
Random Forest,max_f1,0.6166666666666667,0.010465362369445664,0.6,0.63
Random Forest,max_youden_j,0.6166666666666667,0.010465362369445664,0.6,0.63
XGBoost,constrained_fpr_10pct,0.56318279504776,0.0055141737766136395,0.5554347038269043,0.5746970176696777
XGBoost,fixed_0.5,0.5,0.0,0.5,0.5
XGBoost,max_f1,0.57678777774175,0.005081939533449094,0.5684053897857666,0.5844228267669678
XGBoost,max_youden_j,0.6433999458948771,0.007936633082306816,0.6322616934776306,0.663490355014801
