metric,model_a,model_b,wilcoxon_stat,p_value,p_value_holm,median_diff_a_minus_b,effect_size_sign,n_folds,significant_holm_0.05
f1,Compact MLP,Logistic Regression,10.0,0.00262451171875,0.00787353515625,-0.01411088534130156,-0.6,15,True
f1,Compact MLP,Random Forest,12.0,0.0042724609375,0.008544921875,0.007009235064855401,0.7333333333333333,15,True
f1,Compact MLP,XGBoost,5.0,0.0006103515625,0.00244140625,0.014103920717081886,0.8666666666666667,15,True
f1,Logistic Regression,Random Forest,2.0,0.00018310546875,0.0010986328125,0.023870535233517787,0.8666666666666667,15,True
f1,Logistic Regression,XGBoost,3.0,0.00030517578125,0.00152587890625,0.025204682341877893,0.7333333333333333,15,True
f1,Random Forest,XGBoost,41.0,0.30279541015625,0.30279541015625,0.004948640481619471,0.3333333333333333,15,False
roc_auc,Compact MLP,Logistic Regression,49.0,0.5614013671875,0.9085693359375,-0.0051785815982151595,-0.06666666666666667,15,False
roc_auc,Compact MLP,Random Forest,46.0,0.45428466796875,0.9085693359375,0.007784740741290985,0.2,15,False
roc_auc,Compact MLP,XGBoost,14.0,0.0067138671875,0.0335693359375,-0.01986943212098835,-0.7333333333333333,15,True
roc_auc,Logistic Regression,Random Forest,37.0,0.207763671875,0.623291015625,0.010361492052107457,0.2,15,False
roc_auc,Logistic Regression,XGBoost,22.0,0.0301513671875,0.12060546875,-0.011528322474757324,-0.7333333333333333,15,False
roc_auc,Random Forest,XGBoost,0.0,6.103515625e-05,0.0003662109375,-0.02991479906897665,-1.0,15,True
