model,fold_id,held_out_run,auc_128,auc_16,paired_diff_auc_16_minus_128
Logistic Regression,1,10,0.6951316102242592,0.6194380891539953,-0.07569352107026384
Logistic Regression,2,3,0.6973161755804663,0.6101587084506,-0.08715746712986627
Logistic Regression,3,9,0.7097065945022076,0.649633955277026,-0.06007263922518158
Logistic Regression,4,8,0.6979094961136462,0.6185556050194903,-0.07935389109415592
Logistic Regression,5,15,0.7156952881171115,0.6605312246521218,-0.0551640634649897
Logistic Regression,6,13,0.6542941592492418,0.6275292993719112,-0.026764859877330682
Logistic Regression,7,11,0.7121722208268528,0.6857586623948708,-0.02641355843198201
Logistic Regression,8,7,0.7076236435947584,0.6620661721308629,-0.04555747146389544
Logistic Regression,9,12,0.6617605816789891,0.5758126837717364,-0.08594789790725266
Logistic Regression,10,4,0.6362322816643804,0.5761457312691881,-0.060086550395192284
Logistic Regression,11,5,0.6432402827114464,0.6567468734403898,0.013506590728943446
Logistic Regression,12,14,0.6810350755385182,0.6204486613519172,-0.060586414186600934
Logistic Regression,13,2,0.7269211406313159,0.6386276779480395,-0.08829346268327631
Logistic Regression,14,6,0.6479578949818905,0.6035699250979197,-0.04438796988397076
Logistic Regression,15,1,0.7185122042985468,0.6354484315477591,-0.08306377275078769
Random Forest,1,10,0.682168287884753,0.7199751215139788,0.03780683362922577
Random Forest,2,3,0.6750586960831979,0.7464119810680593,0.07135328498486138
Random Forest,3,9,0.7273101330927851,0.7430658025922233,0.015755669499438185
Random Forest,4,8,0.6875480040615387,0.7303285538806519,0.04278054981911317
Random Forest,5,15,0.720690634531884,0.7800221546847009,0.05933152015281695
Random Forest,6,13,0.6486549015659888,0.7314392380541586,0.08278433648816974
Random Forest,7,11,0.6622332240228384,0.67320151611809,0.01096829209525163
Random Forest,8,7,0.7180927968275644,0.7543232343104466,0.03623043748288213
Random Forest,9,12,0.6299072501051876,0.6755174716116052,0.04561022150641769
Random Forest,10,4,0.6529958684433993,0.7013394898425762,0.04834362139917692
Random Forest,11,5,0.6821172349763673,0.6932177142353873,0.011100479259019913
Random Forest,12,14,0.6562797029304206,0.7193203478359272,0.06304064490550665
Random Forest,13,2,0.6585057693014368,0.7167030463381472,0.058197277036710404
Random Forest,14,6,0.6559736397444677,0.7055177477772843,0.049544108032816614
Random Forest,15,1,0.6937648732540094,0.729880896392795,0.03611602313878559
XGBoost,1,10,0.6980697198059738,0.6980547085273966,-1.501127857717055e-05
XGBoost,2,3,0.7049734951521746,0.7473620298505901,0.042388534698415525
XGBoost,3,9,0.7607711785279083,0.7559825286046622,-0.004788649923246124
XGBoost,4,8,0.6987582834915492,0.6927630141672952,-0.005995269324253982
XGBoost,5,15,0.7414479848756513,0.7501514087027944,0.008703423827143064
XGBoost,6,13,0.7029166054135021,0.7038341392073468,0.0009175337938447381
XGBoost,7,11,0.6690918581565636,0.6567827338943898,-0.012309124262173787
XGBoost,8,7,0.7492360154764246,0.7312849830075645,-0.017951032468860095
XGBoost,9,12,0.6682365092065541,0.6707198856369709,0.0024833764304168504
XGBoost,10,4,0.6635988634136782,0.6968316023254295,0.03323273891175127
XGBoost,11,5,0.6855152584916184,0.6918444316413703,0.006329173149751899
XGBoost,12,14,0.6925633980132755,0.7008773698002313,0.00831397178695581
XGBoost,13,2,0.6995825524565465,0.7016750266416787,0.0020924741851321427
XGBoost,14,6,0.6617946041790743,0.7014527434026612,0.03965813922358685
XGBoost,15,1,0.7263972628509616,0.717759488313032,-0.008637774537929577
Compact MLP,1,10,0.689953028626044,0.734097794301533,0.04414476567548897
Compact MLP,2,3,0.6895091711812047,0.7574809695781538,0.06797179839694911
Compact MLP,3,9,0.7152487774770926,0.7241429679216319,0.008894190444539318
Compact MLP,4,8,0.6723995023378578,0.6909168758578902,0.018517373520032354
Compact MLP,5,15,0.721578552754663,0.739824383213106,0.01824583045844297
Compact MLP,6,13,0.6835080224445637,0.7118183575839703,0.028310335139406617
Compact MLP,7,11,0.643647000604136,0.6736555025315147,0.030008501927378695
Compact MLP,8,7,0.6955107953076962,0.712265027986406,0.01675423267870979
Compact MLP,9,12,0.6720286600919699,0.6989982278767077,0.026969567784737802
Compact MLP,10,4,0.6923985890652558,0.6927975373963028,0.0003989483310470332
Compact MLP,11,5,0.658629047647007,0.6510570487038723,-0.007571998943134761
Compact MLP,12,14,0.6667580225171543,0.7125740620897583,0.04581603957260394
Compact MLP,13,2,0.6882515709403594,0.7046279351780399,0.01637636423768052
Compact MLP,14,6,0.6497645851480097,0.6788147972832719,0.029050212135262155
Compact MLP,15,1,0.7016568687391244,0.7132159149696657,0.011559046230541381
