feature,permutation_importance,shap_abs_Random Forest,shap_signed_Random Forest,shap_abs_XGBoost,shap_signed_XGBoost,rank_shap_abs_Random Forest,rank_shap_abs_XGBoost,permutation_rank,relay,signal_family,physical_description
R4-PM2:V,0.045468959691541536,0.023008361760994946,-0.0018859961993654758,0.5100738,0.12186824,2.0,3.0,1.0,R4,phase A-C voltage phase angles,phase A-C voltage phase angles
R2-PM1:V,0.016036344929610556,0.012828121221464244,0.0066995098728808745,0.107081965,-0.049542703,5.0,12.0,2.0,R2,phase A-C voltage phase angles,phase A-C voltage phase angles
R2-PM4:I,0.015271266059140176,0.0031401577967028805,-0.0007016836299444636,0.04338713,-0.01026327,26.0,43.0,3.0,R2,phase A-C current phase angles,phase A-C current phase angles
R4-PA:ZH,0.012888278196113979,0.008101913661773598,0.0012070847706570687,0.14397864,-0.021741355,8.0,6.0,4.0,R4,impedance,apparent impedance
R3-PA:Z,0.012304974202475371,0.0029509839200027523,-0.001304550143060657,0.09764385,-0.0046215644,29.0,14.0,5.0,R3,impedance,apparent impedance
R1-PA:ZH,0.012072403448215873,0.006095503127916399,-0.0011270883923999405,0.06615851,-0.007193931,11.0,27.0,6.0,R1,impedance,apparent impedance
R2-PM3:V,0.011150263835554786,0.007896078344029667,0.0022902207790114417,0.108971484,0.049244426,10.0,11.0,7.0,R2,phase A-C voltage phase angles,phase A-C voltage phase angles
R3-PA:ZH,0.010597886364219045,0.004063754077412074,-0.0016815349127921758,0.103403635,0.011056224,18.0,13.0,8.0,R3,impedance,apparent impedance
R3-PM2:V,0.01053257191064504,0.0259560835049611,0.011763104620492222,1.1783231,-0.39313194,1.0,1.0,9.0,R3,phase A-C voltage phase angles,phase A-C voltage phase angles
R1-PM10:I,0.010242443983583049,0.002255363130799779,-0.0004963999182592875,0.028850464,-0.02222804,65.0,69.0,10.0,R1,sequence current angles,sequence current angles
R3-PA1:VH,0.007705848122413583,0.002358233263876558,0.0004929081161645926,0.03073876,-0.008580668,57.0,66.0,11.0,R3,phase A-C voltage phase angles,phase A-C voltage phase angles
R3-PM10:I,0.0076007188887310395,0.0028646423587947003,-0.0014626930370181634,0.04167794,-0.013010399,33.0,45.0,12.0,R3,sequence current angles,sequence current angles
